ISO3,Country,2015
LVA,Latvia,10
LUX,Luxembourg,10.02
SMR,San Marino,10.06
SMR,San Marino,10.06
DNK,Denmark,10.11
CHE,Switzerland,10.11
MHL,Marshall Islands,10.2
MHL,Marshall Islands,10.2
LUX,Luxembourg,10.2
DEU,Germany,10.23
VUT,Vanuatu,10.28
CHE,Switzerland,10.32
GBR,United Kingdom of Great Britain and Northern Ireland,10.33
FJI,Fiji,10.35
FSM,Micronesia (Federated States of),10.36
MDV,Maldives,10.4
GBR,United Kingdom of Great Britain and Northern Ireland,10.45
VUT,Vanuatu,10.5
MUS,Mauritius,10.52
AUT,Austria,10.54
FSM,Micronesia (Federated States of),10.54
ITA,Italy,10.6
NLD,Netherlands,10.66
WSM,Samoa,10.66
FJI,Fiji,10.7
LTU,Lithuania,10.71
TON,Tonga,10.72
WSM,Samoa,10.76
FSM,Micronesia (Federated States of),10.81
KIR,Kiribati,10.82
BRA,Brazil,10.85
TON,Tonga,10.95
MDV,Maldives,10.97
WSM,Samoa,10.98
SLB,Solomon Islands,10.99
PNG,Papua New Guinea,11.01
FJI,Fiji,11.07
KIR,Kiribati,11.07
PNG,Papua New Guinea,11.11
VUT,Vanuatu,11.12
TON,Tonga,11.12
SLB,Solomon Islands,11.12
RUS,Russian Federation,11.2
MUS,Mauritius,11.36
JPN,Japan,11.45
FRA,France,11.45
DEU,Germany,11.51
MCO,Monaco,11.52
MCO,Monaco,11.52
KIR,Kiribati,11.56
GRC,Greece,11.59
BRA,Brazil,11.62
LTU,Lithuania,11.7
BRA,Brazil,11.76
DEU,Germany,11.76
SLB,Solomon Islands,11.8
PRY,Paraguay,11.81
PRY,Paraguay,11.94
NLD,Netherlands,11.96
PRY,Paraguay,12
NLD,Netherlands,12.01
MDV,Maldives,12.01
AUT,Austria,12.15
PNG,Papua New Guinea,12.18
FRA,France,12.21
LVA,Latvia,12.33
ARG,Argentina,12.35
ARG,Argentina,12.58
BEL,Belgium,12.68
UKR,Ukraine,12.71
MDA,Republic of Moldova,12.76
BEL,Belgium,12.78
CYP,Cyprus,12.95
AUT,Austria,12.95
MYS,Malaysia,13.12
MLT,Malta,13.14
ARG,Argentina,13.15
MLT,Malta,13.15
ROU,Romania,13.33
JPN,Japan,13.42
MDA,Republic of Moldova,13.55
SYC,Seychelles,13.67
SYC,Seychelles,13.67
SYC,Seychelles,13.7
JPN,Japan,13.74
DOM,Dominican Republic,13.86
CZE,Czechia,13.94
JAM,Jamaica,13.96
UKR,Ukraine,13.98
GRC,Greece,14.04
MDA,Republic of Moldova,14.09
BLR,Belarus,14.35
LVA,Latvia,14.41
PAN,Panama,14.48
BHS,Bahamas,14.57
CYP,Cyprus,14.72
PAN,Panama,14.74
ROU,Romania,14.76
ITA,Italy,14.84
JAM,Jamaica,14.86
HUN,Hungary,14.9
UKR,Ukraine,14.93
GRC,Greece,14.99
COM,Comoros,15.28
ITA,Italy,15.29
SVN,Slovenia,15.32
COM,Comoros,15.34
PAN,Panama,15.35
SGP,Singapore,15.35
JAM,Jamaica,15.36
CZE,Czechia,15.41
COM,Comoros,15.49
CYP,Cyprus,15.59
ROU,Romania,15.74
CZE,Czechia,15.82
TLS,Timor-Leste,15.88
ATG,Antigua and Barbuda,15.92
HTI,Haiti,16.01
HUN,Hungary,16.04
DOM,Dominican Republic,16.04
HRV,Croatia,16.12
KAZ,Kazakhstan,16.14
MYS,Malaysia,16.27
SVN,Slovenia,16.29
LKA,Sri Lanka,16.33
TLS,Timor-Leste,16.34
CUB,Cuba,16.35
BLR,Belarus,16.36
DOM,Dominican Republic,16.53
LKA,Sri Lanka,16.54
BHS,Bahamas,16.57
HUN,Hungary,16.66
TKM,Turkmenistan,16.67
LKA,Sri Lanka,16.77
SVN,Slovenia,16.77
SVK,Slovakia,16.78
MYS,Malaysia,17.15
MDG,Madagascar,17.2
ALB,Albania,17.2
SGP,Singapore,17.24
SGP,Singapore,17.24
HRV,Croatia,17.26
GEO,Georgia,17.37
ISR,Israel,17.4
IDN,Indonesia,17.42
MDG,Madagascar,17.5
HTI,Haiti,17.56
TLS,Timor-Leste,17.69
BHS,Bahamas,17.74
HRV,Croatia,17.75
BGR,Bulgaria,17.82
SVK,Slovakia,17.82
KAZ,Kazakhstan,17.84
COL,Colombia,17.85
MDG,Madagascar,17.92
ALB,Albania,18.07
BLR,Belarus,18.12
TKM,Turkmenistan,18.24
SVK,Slovakia,18.27
COL,Colombia,18.45
PHL,Philippines,18.52
ISR,Israel,18.52
ISR,Israel,18.59
POL,Poland,18.59
CRI,Costa Rica,18.64
CRI,Costa Rica,18.69
AZE,Azerbaijan,18.74
DMA,Dominica,18.76
CRI,Costa Rica,18.83
COL,Colombia,19.03
BGR,Bulgaria,19.04
VNM,Viet Nam,19.05
IDN,Indonesia,19.05
LCA,Saint Lucia,19.1
CUB,Cuba,19.11
ALB,Albania,19.32
ECU,Ecuador,19.4
MNE,Montenegro,19.41
LAO,Lao People's Democratic Republic,19.46
HTI,Haiti,19.51
ECU,Ecuador,19.55
ECU,Ecuador,19.66
SWZ,Eswatini,19.78
SWZ,Eswatini,19.9
MOZ,Mozambique,19.94
SWZ,Eswatini,19.94
VEN,Venezuela (Bolivarian Republic of),20.11
CHL,Chile,20.13
VEN,Venezuela (Bolivarian Republic of),20.26
VCT,Saint Vincent and the Grenadines,20.37
MNE,Montenegro,20.39
VEN,Venezuela (Bolivarian Republic of),20.44
LAO,Lao People's Democratic Republic,20.46
NAM,Namibia,20.48
DMA,Dominica,20.5
KGZ,Kyrgyzstan,20.57
BLZ,Belize,20.6
BLZ,Belize,20.61
SUR,Suriname,20.61
IDN,Indonesia,20.66
BLZ,Belize,20.7
MNE,Montenegro,20.85
POL,Poland,20.96
AZE,Azerbaijan,20.99
ATG,Antigua and Barbuda,21.03
BGR,Bulgaria,21.08
GRD,Grenada,21.09
GUY,Guyana,21.14
ATG,Antigua and Barbuda,21.15
MOZ,Mozambique,21.22
PHL,Philippines,21.29
NIC,Nicaragua,21.53
DMA,Dominica,21.59
LAO,Lao People's Democratic Republic,21.78
POL,Poland,21.9
VNM,Viet Nam,22.01
MOZ,Mozambique,22.1
GEO,Georgia,22.15
NIC,Nicaragua,22.16
ZAF,South Africa,22.24
MEX,Mexico,22.44
TTO,Trinidad and Tobago,22.59
NIC,Nicaragua,22.63
CUB,Cuba,22.68
VCT,Saint Vincent and the Grenadines,22.72
MEX,Mexico,22.73
MEX,Mexico,22.77
GRD,Grenada,22.87
LCA,Saint Lucia,22.89
LCA,Saint Lucia,22.94
VCT,Saint Vincent and the Grenadines,23.09
GRD,Grenada,23.14
GUY,Guyana,23.14
AZE,Azerbaijan,23.21
TTO,Trinidad and Tobago,23.32
PHL,Philippines,23.72
VNM,Viet Nam,23.75
KGZ,Kyrgyzstan,23.88
BRB,Barbados,23.89
SRB,Serbia,23.9
CHL,Chile,23.92
UZB,Uzbekistan,23.97
NAM,Namibia,24.05
KEN,Kenya,24.07
LSO,Lesotho,24.28
TTO,Trinidad and Tobago,24.41
LSO,Lesotho,24.49
KHM,Cambodia,24.51
ZWE,Zimbabwe,24.56
TZA,United Republic of Tanzania,24.57
MWI,Malawi,24.63
BRB,Barbados,24.82
SRB,Serbia,24.85
BIH,Bosnia and Herzegovina,24.86
KHM,Cambodia,25.05
BWA,Botswana,25.05
ZAF,South Africa,25.15
SRB,Serbia,25.15
BWA,Botswana,25.16
ZWE,Zimbabwe,25.18
BOL,Bolivia (Plurinational State of),25.18
BWA,Botswana,25.18
HND,Honduras,25.41
BRB,Barbados,25.42
ZWE,Zimbabwe,25.45
HND,Honduras,25.47
HND,Honduras,25.51
KAZ,Kazakhstan,25.6
MWI,Malawi,25.62
KOR,Republic of Korea,25.69
MWI,Malawi,25.83
LSO,Lesotho,25.84
MKD,The former Yugoslav Republic of Macedonia,25.94
ARM,Armenia,26.03
BOL,Bolivia (Plurinational State of),26.06
PER,Peru,26.32
CHL,Chile,26.34
KOR,Republic of Korea,26.41
SUR,Suriname,26.48
KOR,Republic of Korea,26.5
KEN,Kenya,26.6
TZA,United Republic of Tanzania,26.73
GUY,Guyana,26.77
GEO,Georgia,26.95
KHM,Cambodia,27.21
BOL,Bolivia (Plurinational State of),27.29
KEN,Kenya,27.45
TZA,United Republic of Tanzania,27.51
NAM,Namibia,27.56
SOM,Somalia,27.66
SOM,Somalia,27.67
SOM,Somalia,27.67
BIH,Bosnia and Herzegovina,28.14
MAR,Morocco,28.19
KGZ,Kyrgyzstan,28.24
UZB,Uzbekistan,28.3
THA,Thailand,28.3
MAR,Morocco,28.38
MAR,Morocco,28.57
SLV,El Salvador,28.97
SLV,El Salvador,29.14
SLV,El Salvador,29.28
ZMB,Zambia,29.42
ZAF,South Africa,29.42
MKD,The former Yugoslav Republic of Macedonia,29.59
