"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","17231.3797601625","20262.9448852322","24343.255181828","27313.495358357","27884.2531535502","28953.5247120064","29031.7437541823","29324.7920581327","29989.0181359428","29367.3096702448","28684.5649799691","29901.3592937614","29857.5596644533","29640.0452340025","31245.7240422944","29656.1040089547","28051.1192240863","28008.5035479577","29695.4929573171","29670.2876863246","29743.529628082","30160.5278390752","30092.7393652705","26903.1713501175","25857.4933834715","26647.6435400725","26150.636939894","27090.026166222","27011.3203157436","28396.9084228616","28847.814058488","29286.2493197282","","","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1368.94783847471","1381.2168864871","1344.97313645856","1309.32802133593","1314.8796522256","1275.81348704148","1266.23026974499","1276.64458740016","1292.25093845089","1287.09474208515","1252.11506711382","1214.89962443993","1151.73272063005","1105.28551195685","1096.59610164425","1115.12146729634","1147.10604388579","1154.86077208131","1145.35995740652","1145.4260153948","1151.35850188058","1160.96408304674","1176.89305338079","1180.57585654317","1215.12694899578","1261.33584713987","1314.49766894131","1374.25371628683","1405.06791569035","1388.1261800904","1421.48395486168","1444.50138125218","1449.61060518716","1479.01665387132","1503.50664047859","1507.80025630571","1501.67130988462","1507.82135742171","1507.8610550496","1499.25627530736","1418.38052252434",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332.766882686638","345.639571205302","335.701731307511","359.899002051634","368.008644571361","408.573454213443","415.086995378652","491.942093006472","547.354895909701","532.679976956162","580.487287595146","591.947068464406","588.008897592462","578.466352941708","575.334442418746","575.707053139002","568.82792735402","577.563057619788","553.489125729461",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1084.71472400498","1082.41730614942","1099.68534826426","1154.99904477054","1191.70187285667","1212.80169659666","1165.37882020706","1030.97133299848","1022.92477092681","1154.63286354507","1329.97163362116","1439.13666660073","1448.99544781674","1473.20772598148","1583.36249348719","1510.18181189745","1598.14924798231","1629.35408589299","1550.8157644502","1587.84630323236","1574.82435551145","1425.66511073274","1340.39754158697","1218.3693874851","1191.28549378312","1223.24476149795","1206.82734898071","1191.36314127352","1216.00621821687","1210.6611053918","1256.14224868781","1236.87283005488","1237.0229710688","1190.95134995772","1156.45408162747","1148.41195059927","1170.27627930859","1181.69050215781","1191.40028460599","1176.66931886769","1186.14697742034","1217.81759117327","1304.3406806602","1342.77336055161","1409.68178908051","1452.76876682249","1488.02364320218","1528.67478932421","1578.75884267557","1631.73224211133","1693.86349671702","1729.45714917361","1771.90972796682","1828.23509374828","1884.51729994197","1886.24815793403","1838.27112811155","1830.38183950549","1834.36660436787","1843.55846837711","1778.98906874349",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3550.08297047352","3276.36170940381","3162.00412914841","3179.34823621788","3252.10786852736","3248.60811580696","3226.8171793178","3242.57910163663","3323.53429244914","3212.66272008254","2998.78075137846","2929.48288668575","2669.43470645828","1964.38971533127","1927.50048977793","2146.45565318357","2360.08780362789","2451.60865967943","2485.06684218924","2458.09645024045","2451.50982599127","2471.66462723733","2717.44096999519","2705.70613893833","2900.16696257258","3220.07808518711","3464.23466882131","3806.84917814926","4077.77684411643","3963.24842013776","3988.62364625167","3979.8150506227","4167.12579657488","4220.96480538831","4272.45553706668","4166.97983330278","3924.62047106472","3790.79156544691","3595.10666708754","3458.65051207408","3213.78419998236",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.60224878393","1804.11070744257","1818.46854338598","1799.97831573231","1740.44408328581","1735.38643374857","1798.11467568245","1748.67557777398","1691.62464650615","1808.74626290746","1606.38544392283","1163.55604664281","1086.49895155341","1197.64724412258","1305.07334735987","1488.1033058211","1633.64248602715","1464.3790730855","1603.74626382307","1821.97052706629","1961.05732300478","2143.65380130231","2247.70508766046","2380.8957780916","2522.60385733395","2675.76099866915","2851.56736926591","3045.01560629582","3298.60560217562","3432.16246468042","3577.10398111811","3678.03404210171","3736.33663686715","3780.69457138266","3855.75746826905","3952.80121524465","4090.36332250186","4249.7938500033","4433.74173910081","4549.45744148539","4424.31022269879",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","35391.0735982667","35159.4665794894","36166.4134416215","37123.2623281237","37504.7416968765","36246.6832767774","36175.3210521176","36081.6576564343","35551.7356067683","34462.4927619131","34014.4883728057","32669.4617417565","31709.2961035339","30896.9514847486","30084.5669133678","29480.3464493791","29178.5428478503","29564.8210377907","29854.800230417","30091.2493035748","30051.1777375729","29642.7114556457","28792.1981329368","27517.5487946599","27408.2800944199","27641.8864156175","28701.0947085249","31325.5173835279","32416.0142298075","33625.2437739494","34267.582236696","35974.8796537156","36158.5864331717","37620.2055439015","39042.9587661129","39782.9287639918","40602.5375828159","40391.8714598755","37610.5609459506","35362.6965506067","34667.1713089389","34956.5962291033","33750.0569181309","33220.5619485322","34721.891965559","35770.7767044085","37432.7626628952","37707.6836020581","38301.2984391299","39003.3844476073","34287.2279484451",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","3843.68422684371","4314.22871139728","4526.18674327669","4354.41304960831","4702.42603523632","4969.25907955904","4969.26234686973","4391.58737444045","3975.85267320772","3918.47623567911","3719.69209498403","3784.00346659112","3660.91373121557","3764.27716477975","3744.25570547861","4071.36062614721","4050.62410905386","4176.68513796864","4191.88744860139","4219.72329797043","4210.48703700177","4304.03159756659","4388.55359702678","4515.89759008843","4504.81707562527","4705.55892026405","4681.96515699233","4607.14276635295","4721.68435363771","5037.27071126649","5192.34802617969","5384.4908710288","5500.37909165192","5685.39660055995","5589.59736277846","5720.20412604129","5809.50521159198","6023.55528959876","6094.02853094617","6127.26427963625","6185.08362961816","6260.05436222203","6203.63424380166","6221.69801754148","6206.57075829209","5822.97799827885",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","99527.5610077038","99681.2269025418","105014.849902697","90957.5196054104","98626.7360934759","111657.43859913","108644.101681548","95409.0519792848","86172.9554835109","85096.3359081258","77702.2921756698","62414.5068927396","60858.8108807631","55857.7636190788","59163.8266398628","66072.8415968215","62900.925279037","61340.2353875724","58676.9950687171","59408.9462039137","60213.9063652757","60593.6982944342","62311.3265746369","59342.1225409761","57918.2152414432","60761.5129247891","58465.3928730066","56857.4174458559","57975.4168914752","57953.3803392997","53884.8426393613","51235.5031201824","45422.5008697066","40785.4785093141","34605.9790228218","32559.0464724589","33271.4478095707","34022.6889203414","35523.1591091016","36979.6504601721","38663.4005026605","39429.3803967478","39828.1757024993","39700.4904275076","39789.9668532093","",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7362.53406346594","7637.06665193832","7451.80339347471","6945.95712507871","7532.00447503701","8202.11254809786","8026.8762371626","8161.60211350399","8429.86888864047","9108.4968771818","9243.25657918774","9613.67688120479","9614.23793064163","9725.4670447684","10100.0684786638","9939.69662339375","9591.17200106077","10103.6273664386","9505.85621013129","10321.2391039196","10318.1829852084","9630.11517782086","9407.87464068984","9660.19212967857","9655.18364929907","9009.00172884746","9412.99481333182","9517.10860962445","9269.35579048858","8477.67290299912","8149.24061868556","8769.75039972016","9338.69951701644","9974.00441871003","10423.3788791662","10003.0916892982","10430.6824927136","11146.7210336555","11445.5649384682","10935.6445948055","10730.6082172968","10146.1068184859","8943.30800223846","9629.84408600561","10389.1512740641","11192.1795786128","11970.6553871118","12919.2353647124","13310.6236843092","12398.2835807357","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13112.4011339529","12711.705186853","11342.0218239541",
