ISO3,Name,2015
AFG,Afghanistan,34413
ALB,Albania,2880
DZA,Algeria,39728
AND,Andorra,78
AGO,Angola,27884
ATG,Antigua and Barbuda,93
ARG,Argentina,43131
ARM,Armenia,2925
AUS,Australia,23815
AUT,Austria,8642
AZE,Azerbaijan,9649
BHS,Bahamas,374
BHR,Bahrain,1371
BGD,Bangladesh,156256
BRB,Barbados,285
BLR,Belarus,9489
BEL,Belgium,11274
BLZ,Belize,360
BEN,Benin,10575
BTN,Bhutan,727
BOL,"Bolivia, Plurinational State of",10869
BIH,Bosnia and Herzegovina,3429
BWA,Botswana,2120
BRA,Brazil,204471
BRN,Brunei Darussalam,414
BGR,Bulgaria,7177
BFA,Burkina Faso,18110
BDI,Burundi,10160
KHM,Cambodia,15521
CMR,Cameroon,23298
CAN,Canada,35702
CPV,Cape Verde,524
CAF,Central African Republic,4493
TCD,Chad,14110
CHL,Chile,17969
CHN,China,1371220
COL,Colombia,47520
COM,Comoros,777
COG,Congo,4856
COD,"Congo, the Democratic Republic o",76244
CRI,Costa Rica,4847
CIV,Cote d'Ivoire,23226
HRV,Croatia,4203
CUB,Cuba,11324
CYP,Cyprus,1160
CZE,Czech Republic,10546
DNK,Denmark,5683
DJI,Djibouti,913
DMA,Dominica,71
DOM,Dominican Republic,10281
ECU,Ecuador,16212
EGY,Egypt,92442
SLV,El Salvador,6325
GNQ,Equatorial Guinea,1168
ERI,Eritr
EST,Estonia,1315
ETH,Ethiopia,100835
FJI,Fiji,868
FIN,Finland,5479
FRA,France,66548
GAB,Gabon,1947
GMB,Gambia,2085
GEO,Georgia,3725
DEU,Germany,81686
GHA,Ghana,27849
GRC,Greece,10820
GRD,Grenada,109
GTM,Guatemala,15567
GIN,Guinea,11432
GNB,Guinea-Bissau,1737
GUY,Guyana,767
HTI,Haiti,10695
HND,Honduras,9112
HUN,Hungary,9843
ISL,Iceland,330
IND,India,1310152
IDN,Indonesia,258383
IRN,"Iran, Islamic Republic of",78492
IRQ,Iraq,35572
IRL,Ireland,4701
ISR,Israel,8380
ITA,Italy,60730
JAM,Jamaica,2891
JPN,Japan,127141
JOR,Jordan,9266
KAZ,Kazakhstan,17542
KEN,Kenya,47878
KIR,Kiribati,110
PRK,"Korea, Democratic People's Repub",25183
KOR,"Korea, Republic of",51014
KWT,Kuwait,3835
KGZ,Kyrgyzstan,5956
LAO,Lao People's Democratic Republic,6741
LVA,Latvia,1977
LBN,Lebanon,6532
LSO,Lesotho,2059
LBR,Liberia,4472
LBY,Libyan Arab Jamahiriya,6418
LIE,Liechtenstein,37
LTU,Lithuania,2904
LUX,Luxembourg,569
MKD,Macedonia,2079
MDG,Madagascar,24234
MWI,Malawi,16745
MYS,Malaysia,30270
MDV,Maldives,454
MLI,Mali,17438
MLT,Malta,445
MHL,Marshall Islands,57
MRT,Mauritania,4046
MUS,Mauritius,1262
MEX,Mexico,121858
FSM,"Micronesia, Federated States of",108
MDA,"Moldova, Republic of",2834
MCO,Monaco,37
MNG,Mongolia,2998
MNE,Montenegro,622
MAR,Morocco,34663
MOZ,Mozambique,27042
MMR,Myanmar,52680
NAM,Namibia,2314
NRU,Nauru,12
NPL,Nepal,27015
NLD,Netherlands,16939
NZL,New Zealand,4595
NIC,Nicaragua,6223
NER,Niger,20001
NGA,Nigeria,181137
NOR,Norway,5188
OMN,Oman,4267
PAK,Pakistan,199426
PLW,Palau,17
PAN,Panama,3968
PNG,Papua New Guinea,8107
PRY,Paraguay,6688
PER,Peru,30470
PHL,Philippines,102113
POL,Poland,37986
PRT,Portugal,10358
QAT,Qatar,2565
ROU,Romania,19815
RUS,Russian Federation,144096
RWA,Rwanda,11369
KNA,Saint Kitts and Nevis,51
LCA,Saint Lucia,179
VCT,Saint Vincent and the Grenadines,109
WSM,Samoa,193
SMR,San Marino,33
STP,Sao Tome and Principe,199
SAU,Saudi Arabia,31717
SEN,Senegal,14578
SRB,Serbia,7095
SYC,Seychelles,93
SLE,Sierra Leone,7171
SGP,Singapore,5535
SVK,Slovakia,5423
SVN,Slovenia,2063
SLB,Solomon Islands,603
SOM,Somalia,13797
ZAF,South Africa,55386
ESP,Spain,46444
LKA,Sri Lanka,20970
SDN,Sudan,38902
SUR,Suriname,559
SWZ,Swaziland,1104
SWE,Sweden,9799
CHE,Switzerland,8282
SYR,Syrian Arab Republic,17997
TJK,Tajikistan,8454
TZA,"Tanzania, United Republic of",51482
THA,Thailand,68714
TLS,Timor-Leste,1196
TGO,Togo,7323
TON,Tonga,100
TTO,Trinidad and Tobago,1370
TUN,Tunisia,11179
TUR,Turkey,78529
TKM,Turkmenistan,5565
TUV,Tuvalu,11
UGA,Uganda,38225
UKR,Ukraine,45154
ARE,United Arab Emirates,9262
GBR,United Kingdom,65116
USA,United States,320635
URY,Uruguay,3412
UZB,Uzbekistan,31298
VUT,Vanuatu,271
VEN,"Venezuela, Bolivarian Republic o",30081
VNM,Viet Nam,92677
YEM,Yemen,26497
ZMB,Zambia,15879
ZWE,Zimbabwe,13814
